SURVEY	STATEID	DISTID	PSUID	HHID	HHSPLITID	IDPSU	IDHH	BH1	BH2	BH4	BH5A	BH5B	BH6A	BH6B	BH7	BH8A	BH8B	EW3	BHED	WTEW
2	1	2	1	10	1	10201	0102010101	1	5	1	 	 	29	88	1	 	 	2	8	3687.92626953
2	1	2	1	10	1	10201	0102010101	2	 	1	 	 	27	88	3	55	55	2	8	3687.92626953
2	1	2	1	10	1	10201	0102010101	3	 	2	 	 	22	88	2	 	 	2	8	3687.92626953
2	1	2	1	10	1	10201	0102010101	4	3	1	 	 	19	88	1	 	 	2	8	3687.92626953
2	1	2	1	10	1	10201	0102010101	5	 	1	 	 	18	88	3	55	55	2	8	3687.92626953
2	1	2	1	10	1	10201	0102010101	6	4	2	 	 	14	88	1	 	 	2	8	3687.92626953
2	1	2	1	10	1	10201	0102010101	1	7	1	9	5	 	 	1	 	 	6	4	3687.92626953
2	1	2	1	10	1	10201	0102010101	2	8	2	5	9	 	 	1	 	 	6	4	3687.92626953
2	1	2	1	10	1	10201	0102010101	3	9	1	2	10	 	 	1	 	 	6	4	3687.92626953
2	1	2	1	20	1	10201	0102010201	1	9	1	2	99	 	 	1	 	 	8	5	11063.77929688
2	1	2	1	20	1	10201	0102010201	2	10	2	5	4	 	 	1	 	 	8	5	11063.77929688
2	1	2	1	20	1	10201	0102010201	3	11	2	9	6	 	 	1	 	 	8	5	11063.77929688
2	1	2	1	30	1	10201	0102010301	1	3	2	6	89	 	 	1	 	 	2	8	3687.92626953
2	1	2	1	30	1	10201	0102010301	2	4	1	3	92	 	 	1	 	 	2	8	3687.92626953
2	1	2	1	30	1	10201	0102010301	3	5	2	1	95	 	 	1	 	 	2	8	3687.92626953
2	1	2	1	30	1	10201	0102010301	4	6	1	11	98	 	 	1	 	 	2	8	3687.92626953
2	1	2	1	30	1	10201	0102010301	5	7	2	7	0	 	 	1	 	 	2	8	3687.92626953
2	1	2	1	40	1	10201	0102010401	1	3	2	9	92	 	 	1	 	 	2	5	3687.92626953
2	1	2	1	40	1	10201	0102010401	2	4	2	2	98	 	 	1	 	 	2	5	3687.92626953
2	1	2	1	40	1	10201	0102010401	3	5	1	12	99	 	 	1	 	 	2	5	3687.92626953
2	1	2	1	50	1	10201	0102010501	1	8	1	5	94	 	 	1	 	 	2	3	5531.88964844
2	1	2	1	50	1	10201	0102010501	2	9	1	6	96	 	 	1	 	 	2	3	5531.88964844
2	1	2	1	50	1	10201	0102010501	3	10	1	9	0	 	 	1	 	 	2	3	5531.88964844
